"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Lamnidae&taxon_reso=family"
"Access Time","Fri 2017-02-03 18:17:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Lamnidae"
"","idreso","family"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0337"
"Records Found","705"
"Records Returned","705"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"40142","occ","","","3113","Isurus acuminatus","species","34613","species not entered","Isurus","genus","34613","Thanetian","","59.2","56","140"
"40144","occ","","","3113","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Thanetian","","59.2","56","140"
"40145","occ","","","3113","Lamna sp.","genus","34615","","Lamna","genus","34615","Thanetian","","59.2","56","140"
"41363","occ","","","3260","Lamna inflata","species","34615","species not entered","Lamna","genus","34615","Early Eocene","","55.8","48.6","151"
"41536","occ","","","3257","Isurus novus","species","34613","species not entered","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149"
"41537","occ","","","3257","Lamna lerichei","species","34615","species not entered","Lamna","genus","34615","Early Eocene","Middle Eocene","55.8","37.2","149"
"41561","occ","","","3258","Isurus novus","species","34613","species not entered","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149"
"41591","occ","","","3256","Isurus novus","species","34613","species not entered","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149"
"41592","occ","","","3256","Lamna lerichei","species","34615","species not entered","Lamna","genus","34615","Early Eocene","Middle Eocene","55.8","37.2","149"
"75053","occ","","","5553","Isurus sp. ?","genus","34613","","Isurus","genus","34613","Middle Eocene","Lutetian","48.6","41.3","332"
"150335","occ","","","13346","Lamna lerichei","species","34615","species not entered","Lamna","genus","34615","Bridgerian","","50.3","46.2","688"
"150860","occ","","","13449","Isurus glaucus","species","34613","species not entered","Isurus","genus","34613","Miocene","","23.03","5.333","6063"
"217547","occ","","","22219","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Miocene","","11.608","5.333","5419"
"217566","occ","","","22219","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Late Miocene","","11.608","5.333","5419"
"217600","occ","","","22220","Isurus cf. glaucus","species","34613","species not entered","Isurus","genus","34613","Miocene","Pliocene","23.03","2.588","5438"
"217601","occ","","","22220","Lamna nasus","species","34615","species not entered","Lamna","genus","34615","Miocene","Pliocene","23.03","2.588","5438"
"248318","occ","","","24237","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Tortonian","","11.62","7.246","6853"
"281704","occ","","","26820","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Danian","","66","61.6","7438"
"332015","occ","","","31267","Procarcharodon sp.","genus","100434","subjective synonym of","Carcharodon","genus","34605","Ypresian","","56","47.8","8420"
"332016","occ","","","31267","Isurus cf. spallanzani","species","154350","","Isurus spallanzani","species","154350","Ypresian","","56","47.8","8420"
"364199","occ","","","34521","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Tortonian","","11.62","7.246","9111"
"364202","occ","","","34521","Isurus sp.","genus","34613","","Isurus","genus","34613","Tortonian","","11.62","7.246","9111"
"372758","occ","","","35279","Lamna sp.","genus","34615","","Lamna","genus","34615","Late Miocene","","11.608","5.333","9490"
"383880","occ","","","36541","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Campanian","","83.5","70.6","9765"
"402964","occ","","","38669","Lamna serra","species","144459","","Lamna serra","species","144459","Campanian","","83.6","72.1","10375"
"402965","occ","","","38669","Lamna rapax ?","species","34615","species not entered","Lamna","genus","34615","Campanian","","83.6","72.1","10375"
"404700","occ","","","13449","Isurus sp.","genus","34613","","Isurus","genus","34613","Miocene","","23.03","5.333","10445"
"404760","occ","","","38815","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Cretaceous","","100.5","66","10449"
"412475","occ","","","39892","Lamna sp.","genus","34615","","Lamna","genus","34615","Bartonian","","41.3","38","10789"
"428977","occ","","","41888","""Lamna"" lerichei","species","34615","species not entered","Lamna","genus","34615","Lutetian","","47.8","41.3","10858"
"428985","occ","","","41888","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","10858"
"430031","occ","","","41989","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062"
"430033","occ","","","41989","""Lamna"" lerichei","species","34615","species not entered","Lamna","genus","34615","Lutetian","","47.8","41.3","11062"
"430034","occ","","","41989","Procarcharodon auriculatus","species","223912","recombined as","Carcharodon auriculatus","species","205317","Lutetian","","47.8","41.3","11062"
"430082","occ","","","41992","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062"
"430084","occ","","","41992","""Lamna"" lerichei","species","34615","species not entered","Lamna","genus","34615","Lutetian","","47.8","41.3","11062"
"430123","occ","","","41994","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062"
"430125","occ","","","41994","""Lamna"" lerichei","species","34615","species not entered","Lamna","genus","34615","Lutetian","","47.8","41.3","11062"
"430238","occ","","","41996","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062"
"430240","occ","","","41996","""Lamna"" lerichei","species","34615","species not entered","Lamna","genus","34615","Lutetian","","47.8","41.3","11062"
"430295","occ","","","41998","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062"
"430297","occ","","","41998","""Lamna"" lerichei","species","34615","species not entered","Lamna","genus","34615","Lutetian","","47.8","41.3","11062"
"430757","occ","","","42054","Lamna sp.","genus","34615","","Lamna","genus","34615","Bartonian","","41.3","38","11199"
"434606","occ","","","42459","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Ypresian","","56","47.8","11298"
"434607","occ","","","42459","Lamna rapax","species","34615","species not entered","Lamna","genus","34615","Ypresian","","56","47.8","11298"
"434608","occ","","","42459","Lamna libyca","species","34615","species not entered","Lamna","genus","34615","Ypresian","","56","47.8","11298"
"434609","occ","","","42459","Lamna sp.","genus","34615","","Lamna","genus","34615","Ypresian","","56","47.8","11298"
"436922","occ","","","42639","Carcharodon auriculatus","species","205319","","Carcharodon auriculatus","species","205317","Late Eocene","","37.2","33.9","11344"
"437276","occ","","","42636","Lamna vincenti","species","132651","","Lamna vincenti","species","253566","Late Eocene","","37.2","33.9","11344"
"437519","occ","","","42641","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Bartonian","","41.3","38","11344"
"439386","occ","","","42644","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Late Eocene","","37.2","33.9","11344"
"445286","occ","","","43806","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Miocene","","23.03","15.97","11515"
"445289","occ","","","43807","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Early Miocene","","23.03","15.97","11515"
"445293","occ","","","43807","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Miocene","","23.03","15.97","11515"
"462769","occ","","","45640","Carcharodon auriculatus","species","205319","","Carcharodon auriculatus","species","205317","Priabonian","","38","33.9","12028"
"462770","occ","","","45640","Isurus sp.","genus","34613","","Isurus","genus","34613","Priabonian","","38","33.9","12028"
"462771","occ","","","45640","Lamna sp.","genus","34615","","Lamna","genus","34615","Priabonian","","38","33.9","12028"
"463222","occ","","","45701","Procarcharodon cf. auriculatus","species","223912","recombined as","Carcharodon auriculatus","species","205317","Middle Eocene","","48.6","37.2","11958"
"463613","occ","","","45792","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Chattian","","28.1","23.03","12134"
"463972","occ","","","45823","Lamna cf. apiculata","species","34615","species not entered","Lamna","genus","34615","Rupelian","","33.9","28.1","12172"
"464927","occ","","","45920","Isurus cf. precursor","species","34613","species not entered","Isurus","genus","34613","Lutetian","","47.8","41.3","12233"
"464928","occ","","","45920","Carcharodon auriculatus","species","205319","","Carcharodon auriculatus","species","205317","Lutetian","","47.8","41.3","12233"
"465463","occ","","","45458","Carcharodon cf. carcharias","species","83174","","Carcharodon carcharias","species","83173","Messinian","","7.246","5.333","12282"
"465581","occ","","","13079","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Messinian","","7.246","5.333","12182"
"465585","occ","","","45486","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Tortonian","","11.62","7.246","12182"
"465591","occ","","","45485","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Tortonian","","11.62","7.246","12182"
"465597","occ","","","46083","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Messinian","","7.246","5.333","12182"
"465604","occ","","","46084","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Messinian","","7.246","5.333","12182"
"465615","occ","","","45484","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Aquitanian","","23.03","20.44","12182"
"465620","occ","","","45487","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Serravallian","","13.82","11.62","12182"
"467026","occ","","","46343","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Middle Miocene","","15.97","11.608","12352"
"467029","occ","","","46343","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Middle Miocene","","15.97","11.608","12352"
"467030","occ","","","46343","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Middle Miocene","","15.97","11.608","12352"
"467170","occ","","","46365","Isurus pagoda","species","34613","species not entered","Isurus","genus","34613","Middle Miocene","","15.97","11.608","12352"
"467200","occ","","","46369","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","12358"
"478275","occ","","","47461","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Miocene","","23.03","15.97","12755"
"478276","occ","","","47461","Isurus desori","species","280548","","Isurus desori","species","280548","Early Miocene","","23.03","15.97","12755"
"478277","occ","","","47461","Isurus retroflexus","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","12755"
"478278","occ","","","47461","Isurus benedeni","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","12755"
"486113","occ","","","48642","Carcharodon productus","species","202668","","Carcharodon productus","species","202668","Burdigalian","","20.44","15.97","12979"
"486114","occ","","","48642","Carcharodon cf. turgidus","species","205325","","Carcharodon turgidus","species","205325","Burdigalian","","20.44","15.97","12979"
"486115","occ","","","48642","Carcharodon cf. sulcidens","species","202667","","Carcharodon sulcidens","species","202667","Burdigalian","","20.44","15.97","12979"
"486116","occ","","","48642","Carcharodon n. sp. humilis","species","65067","","Carcharodon humilis","species","65067","Burdigalian","","20.44","15.97","12979"
"486131","occ","","","48642","Oxyrhina xiphodon","species","83170","subjective synonym of","Carcharodon hastalis","species","80595","Burdigalian","","20.44","15.97","12979"
"486135","occ","","","48642","Lamna contoridens","species","34615","species not entered","Lamna","genus","34615","Burdigalian","","20.44","15.97","12979"
"486137","occ","","","48642","Lamna tarnocziensis","species","34615","species not entered","Lamna","genus","34615","Burdigalian","","20.44","15.97","12979"
"492590","occ","","","49751","Lamna sp.","genus","34615","","Lamna","genus","34615","Bartonian","","41.3","38","13353"
"493627","occ","","","5387","Procarcharodon angustidens","species","124966","recombined as","Carcharodon angustidens","species","124964","Bartonian","","41.3","38","12993"
"493628","occ","","","5387","Isurus americanus","species","34613","species not entered","Isurus","genus","34613","Bartonian","","41.3","38","12993"
"495991","occ","","","50067","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Casamayoran","","55.8","48","13447"
"495992","occ","","","50067","cf. Carcharodon auriculatus","species","205319","","Carcharodon auriculatus","species","205317","Casamayoran","","55.8","48","13447"
"495994","occ","","","50068","Isurus cf. oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Zanclean","","5.333","3.6","13448"
"495996","occ","","","50068","Carcharodon sulcidens","species","202667","","Carcharodon sulcidens","species","202667","Zanclean","","5.333","3.6","13448"
"496021","occ","","","50069","Isurus oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Zanclean","","5.333","3.6","13448"
"496022","occ","","","50069","Isurus cf. hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","13448"
"496023","occ","","","50069","Carcharodon sulcidens","species","202667","","Carcharodon sulcidens","species","202667","Zanclean","","5.333","3.6","13448"
"496052","occ","","","50072","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Oligocene","Miocene","33.9","5.333","13447"
"498196","occ","","","50343","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","13520"
"498197","occ","","","50343","Lamna cf. cattica","species","34615","species not entered","Lamna","genus","34615","Zanclean","","5.333","3.6","13520"
"504613","occ","","","51304","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Calabrian","","1.806","0.781","13658"
"504614","occ","","","51304","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Calabrian","","1.806","0.781","13658"
"506112","occ","","","51328","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Zanclean","","5.333","3.6","13672"
"506113","occ","","","51328","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","13672"
"506114","occ","","","51328","Isurus sp.","genus","34613","","Isurus","genus","34613","Zanclean","","5.333","3.6","13672"
"506120","occ","","","46164","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Burdigalian","Langhian","20.44","13.82","13672"
"506125","occ","","","46165","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Langhian","","15.97","13.82","13672"
"506126","occ","","","46165","Isurus retroflexus","species","34613","species not entered","Isurus","genus","34613","Langhian","","15.97","13.82","13672"
"506127","occ","","","46165","Isurus desori","species","280548","","Isurus desori","species","280548","Langhian","","15.97","13.82","13672"
"506128","occ","","","46165","Isurus planus","species","34613","species not entered","Isurus","genus","34613","Langhian","","15.97","13.82","13672"
"506129","occ","","","46165","Isurus cf. paucus","species","34613","species not entered","Isurus","genus","34613","Langhian","","15.97","13.82","13672"
"506130","occ","","","46165","Isurus sp.","genus","34613","","Isurus","genus","34613","Langhian","","15.97","13.82","13672"
"506132","occ","","","46165","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Langhian","","15.97","13.82","13672"
"506149","occ","","","51335","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Zanclean","","5.333","3.6","13672"
"506150","occ","","","51335","Isurus escheri","species","280549","","Isurus escheri","species","280549","Zanclean","","5.333","3.6","13672"
"506151","occ","","","51335","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","13672"
"506302","occ","","","51383","Isurus sp.","genus","34613","","Isurus","genus","34613","Chattian","","28.1","23.03","13672"
"506303","occ","","","51383","Isurus desori","species","280548","","Isurus desori","species","280548","Chattian","","28.1","23.03","13672"
"506306","occ","","","51383","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Chattian","","28.1","23.03","13672"
"506319","occ","","","51392","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Chattian","","28.1","23.03","13672"
"506330","occ","","","48647","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Chattian","","28.1","23.03","13672"
"506331","occ","","","48647","Isurus desori","species","280548","","Isurus desori","species","280548","Chattian","","28.1","23.03","13672"
"506332","occ","","","48647","Isurus planus","species","34613","species not entered","Isurus","genus","34613","Chattian","","28.1","23.03","13672"
"506333","occ","","","48647","Isurus sp.","genus","34613","","Isurus","genus","34613","Chattian","","28.1","23.03","13672"
"506358","occ","","","46166","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Chattian","","28.1","23.03","13672"
"506359","occ","","","46166","Isurus desori","species","280548","","Isurus desori","species","280548","Chattian","","28.1","23.03","13672"
"506360","occ","","","46166","Isurus sp.","genus","34613","","Isurus","genus","34613","Chattian","","28.1","23.03","13672"
"506361","occ","","","46166","Lamna ? cattica","species","34615","species not entered","Lamna","genus","34615","Chattian","","28.1","23.03","13672"
"506362","occ","","","46166","Lamna sp.","genus","34615","","Lamna","genus","34615","Chattian","","28.1","23.03","13672"
"506376","occ","","","51330","Isurus desori","species","280548","","Isurus desori","species","280548","Early Miocene","Middle Miocene","23.03","11.608","13672"
"506377","occ","","","51330","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Miocene","Middle Miocene","23.03","11.608","13672"
"506378","occ","","","51330","Isurus oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Early Miocene","Middle Miocene","23.03","11.608","13672"
"506379","occ","","","51330","Isurus cf. oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Early Miocene","Middle Miocene","23.03","11.608","13672"
"506380","occ","","","51330","Isurus planus","species","34613","species not entered","Isurus","genus","34613","Early Miocene","Middle Miocene","23.03","11.608","13672"
"506381","occ","","","51330","Isurus retroflexus","species","34613","species not entered","Isurus","genus","34613","Early Miocene","Middle Miocene","23.03","11.608","13672"
"506382","occ","","","51330","Isurus cf. paucus","species","34613","species not entered","Isurus","genus","34613","Early Miocene","Middle Miocene","23.03","11.608","13672"
"506383","occ","","","51330","Isurus sp.","genus","34613","","Isurus","genus","34613","Early Miocene","Middle Miocene","23.03","11.608","13672"
"506384","occ","","","51330","Lamnidae indet.","family","80587","","Lamnidae","family","80587","Early Miocene","Middle Miocene","23.03","11.608","13672"
"506396","occ","","","51395","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Oligocene","Early Miocene","28.4","15.97","13672"
