Species	Status	min_age	max_age
Ictitherium	extinct	5.333	8.7
Viverrinae	extinct	5.333	8.7
Drepanodon	extinct	3.6	11.608
Lynx	extant	0.0117	0.781
Panthera_pardus	extant	0.0117	0.781
Panthera_tigris	extant	0.0117	0.781
Crocuta_crocuta	extant	0.0117	0.781
Paguma_larvata	extant	0.0117	0.781
Herpestes_urva	extinct	0.0117	0.781
Viverra_zibetha	extinct	0.0117	0.781
Panthera_leo	extant	0	0.126
Crocuta	extant	0	0.126
Crocuta	extant	11.608	15.97
Crocuta	extant	5.333	11.608
Crocuta	extant	5.333	11.608
Crocuta	extant	5.333	11.608
Vinayakia	extinct	5.333	11.608
Megantereon	extant	5.333	11.608
Felidae	extant	5.333	11.608
Crocuta	extant	5.333	11.608
Crocuta	extant	5.333	11.608
Ictitherium	extinct	5.333	11.608
Leopardus_vorohuensis	extinct	1.2	3
Panthera_tigris	extant	0	0.0117
Adcrocuta	extinct	5.333	11.608
Ictitherium	extinct	5.333	11.608
Ictidopappus_mustelinus	extinct	61.7	63.3
Nimravidae	extinct	37.2	40.4
Eusmilus	extinct	33.9	37.2
Dinictis_felina	extinct	33.9	37.2
Dinictis	extinct	33.9	37.2
Hoplophoneus	extinct	33.9	37.2
Dinictis	extinct	33.9	37.2
Hoplophoneus_mentalis	extinct	33.9	37.2
Hoplophoneus_mentalis	extinct	33.9	37.2
Dinictis	extinct	33.9	37.2
Eusmilus	extinct	33.9	37.2
Hoplophoneus_mentalis	extinct	33.9	37.2
Nimravidae	extinct	33.9	37.2
Hoplophoneus_mentalis	extinct	33.9	37.2
Dinictis	extinct	33.9	37.2
Hoplophoneus_mentalis	extinct	33.9	37.2
Dinictis	extinct	33.9	37.2
Hoplophoneus_mentalis	extinct	33.9	37.2
Dinictis	extinct	33.9	37.2
Hoplophoneus_mentalis	extinct	33.9	37.2
Dinictis	extinct	33.9	37.2
Hoplophoneus_mentalis	extinct	33.9	37.2
Dinictis	extinct	33.9	37.2
Hoplophoneus	extinct	33.3	37.2
Dinictis	extinct	33.9	37.2
Hoplophoneus_mentalis	extinct	33.9	37.2
Dinictis_felina	extinct	33.9	37.2
Palaeogale	extinct	33.9	37.2
Palaeogale_sectoria	extinct	33.9	37.2
Hoplophoneus_primaevus	extinct	33.3	33.9
Hoplophoneus_primaevus	extinct	33.3	33.9
Palaeogale_sectoria	extinct	33.3	33.9
Dinictis	extinct	33.3	33.9
Hoplophoneus_primaevus	extinct	33.3	33.9
Palaeogale_sectoria	extinct	33.3	33.9
Hoplophoneus_primaevus	extinct	33.3	33.9
Hoplophoneus	extinct	33.3	33.9
Dinictis	extinct	33.3	33.9
Hoplophoneus_primaevus	extinct	33.3	33.9
Dinictis_felina	extinct	33.3	33.9
Dinictis	extinct	33.3	33.9
Dinictis	extinct	33.3	33.9
Palaeogale_sectoria	extinct	33.3	33.9
Palaeogale_sectoria	extinct	33.3	33.9
Palaeogale_sectoria	extinct	33.3	33.9
Palaeogale	extinct	33.3	33.9
Eusmilus_sicarius	extinct	33.3	37.2
Hoplophoneus_primaevus	extinct	33.3	33.9
Dinictis_felina	extinct	33.3	33.9
Hoplophoneus_primaevus	extinct	33.3	33.9
Hoplophoneus_primaevus	extinct	33.3	33.9
Hoplophoneus_primaevus	extinct	33.3	33.9
Hoplophoneus_occidentalis	extinct	33.3	33.9
Dinictis_felina	extinct	33.3	33.9
Hoplophoneus_primaevus	extinct	33.3	33.9
Eusmilus_sicarius	extinct	33.3	33.9
Hoplophoneus	extinct	33.3	33.9
Dinictis	extinct	33.3	33.9
Palaeogale	extinct	33.3	33.9
Dinictis	extinct	33.3	33.9
Palaeogale_sectoria	extinct	33.3	33.9
Dinictis_felina	extinct	33.3	33.9
Dinictis	extinct	33.3	33.9
Dinictis	extinct	33.3	33.9
Palaeogale	extinct	33.3	33.9
Dinictis_felina	extinct	33.3	33.9
Hoplophoneus_primaevus	extinct	33.3	33.9
Pogonodon_brachyops	extinct	30.8	33.3
Dinictis	extinct	30.8	33.3
Nimravidae	extinct	30.8	33.3
Palaeogale	extinct	30.8	33.3
Nimravidae	extinct	30.8	33.3
Nimravidae	extinct	30.8	33.3
Hoplophoneus_cerebralis	extinct	20.43	30.8
Pogonodon_brachyops	extinct	30.8	33.3
Felidae	extant	30.8	33.3
Dinictis	extinct	30.8	33.3
Dinictis	extinct	30.8	33.3
Dinictis	extinct	30.8	33.3
Dinictis_felina	extinct	30.8	33.3
Pogonodon_brachyops	extinct	30.8	33.3
Nimravus_sectator	extinct	20.43	30.8
Pogonodon_brachyops	extinct	26.3	30.8
