Species	Status
Acinonyx	extinct
Acinonyx_aicha	extinct
Acinonyx_jubatus	extant
Adcrocuta	extinct
Adelphailurus	extinct
Adelphailurus_kansensis	extinct
Aeluroidea	extinct
Africanictis_hyaenoides	extinct
Africanictis_meini	extinct
Africanictis_schmidtkittleri	extinct
Alagtsavbaatar_indigenus	extinct
Allohyaena	extinct
Allohyaena_kadici	extinct
Amphimachairodus	extinct
Amphimachairodus_coloradensis	extinct
Amphimachairodus_giganteus	extinct
Anictis_simplicidens	extinct
Asiavorator_gracilis	extinct
Atilax	extinct
Atilax_paludinosus	extant
Bdeogale	extant
Caracal	extinct
Caracal_caracal	extant
Caracal_serval	extant
Chasmaporthetes	extinct
Chasmaporthetes_ossifragus	extinct
Civettictis	extinct
Civettictis_civetta	extant
Crocuta	extant
Crocuta_crocuta	extant
Crocuta_dbaa	extinct
Crossarchus	extant
Cryptoprocta	extant
Cryptoprocta_ferox	extant
Cynictis	extinct
Cynictis_penicillata	extant
Diamantofelis_ferox	extinct
Diamantofelis_minor	extinct
Dinaelurus_crassus	extinct
Dinailurictis_bonali	extinct
Dinictis	extinct
Dinictis_cyclops	extinct
Dinictis_felina	extinct
Dinofelis	extinct
Dinofelis_palaeoonca	extinct
Drepanodon	extinct
Eofelis	extinct
Eofelis_edwardsii	extinct
Eofelis_giganteus	extinct
Epimachairodus	extinct
Eusmilus	extinct
Eusmilus_bidentatus	extinct
Eusmilus_sicarius	extinct
Eusmilus_villebramarensis	extinct
Felidae	extant
Feliformia	extinct
Felinae	extinct
Felis	extant
Felis_domesticus	extinct
Felis_lacustris	extinct
Felis_libyca	extant
Felis_nigripes	extinct
Felis_obscura	extinct
Felis_platensis	extinct
Felis_prisca	extinct
Felis_rexroadensis	extinct
Felis_silvestris	extant
Felis_youngi	extinct
Fossa_fossana	extant
Genetta	extant
Genetta_genetta	extant
Genetta_tigrina	extant
Helogale	extinct
Helogale_hirtula	extinct
Herpailurus	extinct
Herpestes	extant
Herpestes_abdelalii	extinct
Herpestes_ichneumon	extant
Herpestes_pulverulentus	extant
Herpestes_sanguineus	extant
Herpestes_urva	extinct
Herpestidae	extant
Herpestides	extinct
Herpestides_aegypticus	extinct
Herpestides_antiquus	extinct
Herpestides_compactus	extinct
Homotherium	extinct
Homotherium_crusafonti	extinct
Homotherium_idahoensis	extinct
Homotherium_johnstoni	extinct
Homotherium_serum	extinct
Homotherium_venezuelensis	extinct
Hoplophoneus	extinct
Hoplophoneus_cerebralis	extinct
Hoplophoneus_mentalis	extinct
Hoplophoneus_occidentalis	extinct
Hoplophoneus_primaevus	extinct
Hoplophoneus_strigidens	extinct
Hyaena	extant
Hyaena_abronia	extinct
Hyaena_hipparionum	extinct
Hyaena_hyaena	extant
Hyaena_hyaena_hyaena	extinct
Hyaenictis	extinct
Hyaenictis_preforfex	extinct
Hyaenictitherium	extinct
Hyaenictitherium_barbarum	extinct
Hyaenidae	extinct
Hyaenotherium	extinct
Ichneumia	extinct
Ichneumia_albicauda	extant
Ichneumia_nims	extinct
Ictidopappus_mustelinus	extinct
Ictitheriinae	extinct
Ictitherium	extinct
Ikelohyaena	extinct
Ketketictis_solida	extinct
Kichechia_zamanae	extinct
Leopardus	extant
Leopardus_braccatus	extant
Leopardus_pardalis	extant
Leopardus_tigrinus	extant
Leopardus_vorohuensis	extinct
Leopardus_wiedii	extant
Leptoplesictis_namibiensis	extinct
Leptoplesictis_senutae	extinct
Lycaena	extinct
Lycyaena	extinct
Lycyaenops_silberbergi	extinct
Lynx	extant
Lynx_canadensis	extinct
Lynx_longignathus	extinct
Lynx_lynx	extant
Lynx_pardinus	extinct
Lynx_proterolyncis	extinct
Lynx_rufus	extant
Machairodontinae	extinct
Machairodus	extinct
Machairodus_catocopis	extinct
Machairodus_irtyschensis	extinct
Machairodus_ischimicus	extinct
Machairodus_kabir	extinct
Machairodus_kurteni	extinct
Maofelis_cantonensis	extinct
Megantereon	extant
Megantereon_cultridens	extinct
Megantereon_eurynodon	extinct
Megantereon_hesperus	extinct
Megantereon_megantereon	extinct
Megantereon_nihowanensis	extinct
Megantereon_whitei	extinct
Metailurus	extinct
Miomachairodus	extinct
Miracinonyx	extinct
Miracinonyx_inexpectatus	extinct
Miracinonyx_studeri	extinct
Moghradictis_nedjema	extinct
Mungos	extinct
Mungos_mungo	extant
Neofelis_nebulosa	extinct
Nimravidae	extinct
Nimravides	extinct
Nimravides_galiani	extinct
Nimravides_hibbardi	extinct
Nimravides_pedionomus	extinct
Nimravides_thinobates	extinct
Nimravus	extinct
Nimravus_intermedius	extinct
Nimravus_mongoliensis	extinct
Nimravus_sectator	extinct
Orangictis_gariepensis	extinct
Pachycrocuta	extinct
Paguma_larvata	extant
Palaeogale	extinct
Palaeogale_dorothiae	extinct
Palaeogale_hyaenoides	extinct
Palaeogale_minuta	extinct
Palaeogale_praehyaenoides	extinct
Palaeogale_sanguinarius	extinct
Palaeogale_sectoria	extinct
Palaeoprionodon	extinct
Panthera	extinct
Panthera_blytheae	extinct
Panthera_gombaszoegensis	extinct
Panthera_leo	extant
Panthera_leo_atrox	extant
Panthera_onca	extant
Panthera_pardus	extant
Panthera_tigris	extant
Paradoxurinae	extinct
Paradoxurus_hermaphroditus	extinct
Parahyaena	extinct
Parahyaena_brunnea	extant
Paramachaerodus	extinct
Pliocrocuta_perrieri	extinct
Plioviverrops	extinct
Pogonodon	extinct
Pogonodon_brachyops	extinct
Pogonodon_eileenae	extinct
Pogonodon_platycopis	extinct
Pratifelis_martini	extinct
Prionailurus_bengalensis	extinct
Proailurus	extinct
Proailurus_lemanensis	extinct
Progenetta	extinct
Proteles	extant
Proteles_cristatus	extinct
Protictitherium	extinct
Pseudaelurus	extinct
Pseudaelurus_aeluroides	extinct
Pseudaelurus_africanus	extinct
Pseudaelurus_intrepidus	extinct
Pseudaelurus_lorteti	extinct
Pseudaelurus_marshi	extinct
Pseudaelurus_quadridentatus	extinct
Pseudaelurus_romieviensis	extinct
Pseudaelurus_stouti	extinct
Pseudaelurus_turnauensis	extinct
Pseudaelurus_validus	extinct
Pseudocivetta	extinct
Puma	extant
Puma_concolor	extant
Puma_yagouaroundi	extant
Quercylurus_major	extinct
Semigenetta	extinct
Semigenetta_cadeoti	extinct
Shandgolictis_constans	extinct
Smilodon	extinct
Smilodon_fatalis	extant
Smilodon_gracilis	extinct
Smilodon_populator	extant
Smilodon_riggii	extinct
Stenogale	extinct
Stenogale_bransatensis	extinct
Stenogale_intermedia	extinct
Stenoplesictis	extinct
Stenoplesictis_cayluxi	extinct
Stenoplesictis_crocheti	extinct
Stenoplesictis_elegans	extinct
Stenoplesictis_minor	extinct
Suricata	extant
Suricata_suricatta	extinct
Thalassictis	extinct
Thalassictis_robusta	extinct
Therailurus	extinct
Tungurictis	extinct
Ugandictis_napakensis	extinct
Uncia_mercerii	extinct
Uncia_spelea	extinct
Vinayakia	extinct
Viretailurus	extinct
Viretictis_gaillardi	extinct
Viretictis_julieni	extinct
Vishnufelis	extinct
Vishnuictis	extinct
Viverra	extant
Viverra_leakeyi	extinct
Viverra_zibetha	extinct
Viverricula_malaccensis	extinct
Viverridae	extant
Viverrinae	extinct
Xenosmilus_hodsonae	extinct
